activity;birth_year;budget;drink_level;marital_status;Rcuisine;smoker;transport;Upayment;userID;weight
student;1983;medium;abstemious;single;Sushi;false;public;cash;U1108;76
student;1983;medium;abstemious;single;Sushi;false;public;MasterCard-Eurocard;U1108;76
student;1983;medium;abstemious;single;Sushi;false;public;VISA;U1108;76
student;1986;low;abstemious;single;Mexican;false;public;bank_debit_cards;U1066;45
student;1986;low;abstemious;single;Mexican;false;public;cash;U1066;45
student;1988;;abstemious;single;Mexican;false;car owner;cash;U1085;84
student;1989;low;abstemious;single;Mexican;false;public;cash;U1109;57
student;1989;low;social drinker;single;American;false;public;cash;U1008;68
student;1989;low;social drinker;single;Cafe-Coffee_Shop;false;public;cash;U1008;68
student;1989;low;social drinker;single;Cafeteria;false;public;cash;U1008;68
student;1989;low;social drinker;single;Hawaiian;false;public;cash;U1008;68
student;1989;low;social drinker;single;Hot_Dogs;false;public;cash;U1008;68
student;1989;low;social drinker;single;Italian;false;public;cash;U1008;68
student;1989;low;social drinker;single;Juice;false;public;cash;U1008;68
student;1989;low;social drinker;single;Korean;false;public;cash;U1008;68
student;1989;low;social drinker;single;Latin_American;false;public;cash;U1008;68
student;1989;low;social drinker;single;Mexican;false;public;cash;U1008;68
student;1989;low;casual drinker;single;Family;false;public;cash;U1007;60
student;1989;medium;abstemious;single;Chinese;false;public;cash;U1087;53
student;1989;medium;abstemious;single;Latin_American;false;public;cash;U1043;60
student;1991;;casual drinker;single;Mexican;false;public;cash;U1049;55
student;1991;;casual drinker;single;Mexican;false;public;cash;U1132;55
student;1991;medium;casual drinker;single;Mexican;false;public;cash;U1064;94
student;1992;low;abstemious;single;Mexican;false;public;cash;U1127;65
unemployed;1989;medium;abstemious;widow;American;false;car owner;cash;U1073;118
unemployed;1992;medium;abstemious;married;Mexican;false;;American_Express;U1031;40
unemployed;1992;medium;abstemious;married;Mexican;false;;cash;U1031;40
working-class;1987;medium;social drinker;married;Mexican;false;public;bank_debit_cards;U1121;90
working-class;1987;medium;social drinker;married;Mexican;false;public;cash;U1121;90
